,value,year
0,52414.851,1989
1,48391.105,1990
2,51152.543,1991
3,67703.287,1992
4,54669.305,1993
5,54575.67,1994
6,65876.734,1995
7,53499.155,1996
8,54870.846,1997
9,60438.062,1998
10,59663.112,1999
11,56867.408,2000
12,54713.337,2001
13,57864.034,2002
14,63274.596,2003
15,98893.067,2004
16,128863.374,2005
17,134279.47,2006
18,183234.235,2007
19,211191.51,2008
20,182723.774,2009
21,195391.447,2010
22,217568.949,2011
23,212161.257,2012
24,212642.864,2013
25,234565.634,2014
26,203229.177,2015
27,218553.123,2016
