,value,year
0,218298.771,1989
1,262947.378,1990
2,270088.143,1991
3,301134.681,1992
4,222310.921,1993
5,242960.824,1994
6,271569.042,1995
7,255812.023,1996
8,249374.828,1997
9,277838.21,1998
10,263166.795,1999
11,275936.347,2000
12,276101.355,2001
13,282689.002,2002
14,317189.196,2003
15,338809.819,2004
16,346771.625,2005
17,362994.673,2006
18,456282.305,2007
19,513428.436,2008
20,457367.611,2009
21,416311.467,2010
22,422166.686,2011
23,360006.643,2012
24,314185.492,2013
25,358294.924,2014
26,295207.584,2015
27,296577.821,2016
