,value,year
0,180345.055,1989
1,187002.294,1990
2,196147.557,1991
3,269218.839,1992
4,202670.532,1993
5,194602.753,1994
6,241726.067,1995
7,246675.334,1996
8,202861.786,1997
9,256907.827,1998
10,196258.832,1999
11,195973.245,2000
12,204247.725,2001
13,233426.469,2002
14,312292.423,2003
15,407476.277,2004
16,406225.278,2005
17,490425.556,2006
18,688625.294,2007
19,879541.793,2008
20,471237.536,2009
21,556057.894,2010
22,482846.634,2011
23,346253.47,2012
24,279029.355,2013
25,251524.428,2014
26,250226.236,2015
27,225777.053,2016
