,value,year
0,382701.2,1989
1,443495.072,1990
2,455600.752,1991
3,611738.4,1992
4,466073.6,1993
5,565904.16,1994
6,643810.336,1995
7,617024,1996
8,520369.872,1997
9,665043.264,1998
10,607839.776,1999
11,654326.597,2000
12,650612.249,2001
13,630619.971,2002
14,744951.726,2003
15,1020146.646,2004
16,1223703.486,2005
17,1158159.384,2006
18,1317437.482,2007
19,1584401.829,2008
20,1419968.03,2009
21,1215116.448,2010
22,1186602.368,2011
23,795835.522,2012
24,666496.322,2013
25,711745.464,2014
26,625350.186,2015
27,693423.485,2016
