,value,year
0,292232.648,1989
1,367454.653,1990
2,432836.745,1991
3,535321.881,1992
4,441861.206,1993
5,547998.347,1994
6,752426.665,1995
7,974920.669,1996
8,998055.868,1997
9,749436.293,1998
10,702720.632,1999
11,716854.787,2000
12,648040.369,2001
13,520627.192,2002
14,539183.125,2003
15,685923.782,2004
16,792204.236,2005
17,884359.832,2006
18,1127400.399,2007
19,1451531.794,2008
20,1227791.071,2009
21,1283015.441,2010
22,1383350.919,2011
23,1290374.283,2012
24,1285228.943,2013
25,1340387.992,2014
26,1142299.326,2015
27,1189922.578,2016
