,value,year
0,625061.241,1989
1,578452.355,1990
2,534731.461,1991
3,812564.761,1992
4,555582.65,1993
5,638813.126,1994
6,760484.626,1995
7,731131.238999999,1996
8,634694.281999999,1997
9,789941.883000001,1998
10,728332.220000001,1999
11,806967.587999999,2000
12,804809.042,2001
13,872366.005,2002
14,899965.509999999,2003
15,1194130.621,2004
16,1351233.322,2005
17,1299965.199,2006
18,1447739.872,2007
19,1851909.054,2008
20,1522264.899,2009
21,1634506.374,2010
22,1339107.188,2011
23,870361.798999999,2012
24,715685.956000001,2013
25,830111.457000001,2014
26,704572.508000001,2015
27,954063.769,2016
