,value,year
0,4035218.247,1993
1,4918956.59899999,1994
2,7679291.72200001,1995
3,9059371.231,1996
4,8848068.444,1997
5,9050580.92600001,1998
6,8914154.277,1999
7,10318718.821,2000
8,11594835.03,2001
9,16948805.129,2002
10,16623976.067,2003
11,21733168.884,2004
12,23075998.962,2005
13,29032622.775,2006
14,36437893.381,2007
15,45013083.9429999,2008
16,35548474.395,2009
17,38048857.829,2010
18,46388301.3330001,2011
19,43164811.298,2012
20,45254351.172,2013
21,47833161.8570001,2014
22,44781832.1160001,2015
23,46764720.18,2016
