,value,year
0,3529703.992,1988
1,3737577.944,1989
2,4863510.192,1990
3,5795473.104,1991
4,5782026.784,1992
5,5191986.752,1993
6,5493289.024,1994
7,5545209.152,1995
8,5743926.128,1996
9,5319685.808,1997
10,5073100.2,1998
11,4998039.864,1999
12,4485780,2000
13,4628377,2001
14,4719949,2002
15,5205550,2003
16,5590355,2004
17,6181610,2005
18,6640807,2006
19,7127555,2007
20,7857096,2008
21,7257617,2009
22,8227081.947,2010
23,10190318.121,2011
24,9724996.034,2012
25,10631849.231,2013
26,11933489.906,2014
27,11401550.563,2015
28,11683191.296,2016
