,value,year
0,20608043.864,1988
1,24192103.824,1989
2,34852759.6,1990
3,48724210.944,1991
4,48270347.328,1992
5,35570871.68,1993
6,38160201.248,1994
7,44975686.272,1995
8,48420620.608,1996
9,47579034.352,1997
10,55174991.488,1998
11,56700403.392,1999
12,53066577,2000
13,58299386,2001
14,60957932,2002
15,73562146,2003
16,84791857,2004
17,92925787,2005
18,113969519,2006
19,112730355,2007
20,126123529,2008
21,106527739,2009
22,118518382.761,2010
23,133293370.97,2011
24,123753446.712,2012
25,128502243.681,2013
26,135738410.3,2014
27,126896578.541,2015
28,130767206.001,2016
