,value,year
0,2961737.472,1989
1,3546553.856,1990
2,3509580.8,1991
3,3806419.968,1992
4,3327833.344,1993
5,3763940.096,1994
6,4730712.064,1995
7,4378263.552,1996
8,4584906.24,1997
9,4619286.528,1998
10,4400938.556,1999
11,4276032.493,2000
12,4491148.548,2001
13,5131275.818,2002
14,6064049.068,2003
15,7167336.255,2004
16,7917804.211,2005
17,8815755.028,2006
18,9991677.39,2007
19,11365422.072,2008
20,8744523.686,2009
21,9084904.636,2010
22,10270490.779,2011
23,10239053.819,2012
24,10961050.184,2013
25,11504377.869,2014
26,9833286.253,2015
27,9746239.348,2016
