,value,year
0,8013642.752,1989
1,9958430.72,1990
2,10123348.992,1991
3,10017744.896,1992
4,8933656.576,1993
5,11020288,1994
6,13805050.88,1995
7,13986230.272,1996
8,15066152.96,1997
9,16139611.136,1998
10,15852437.704,1999
11,15978639.185,2000
12,15783101.36,2001
13,18524529.683,2002
14,19890374.143,2003
15,24078058.78,2004
16,25397789.24,2005
17,29577955.193,2006
18,34406132.504,2007
19,36669046.811,2008
20,26685681.343,2009
21,26112646.566,2010
22,28775244.169,2011
23,27158449.349,2012
24,29682148.724,2013
25,30921609.88,2014
26,27680668.132,2015
27,28455123.532,2016
