,value,year
0,2665273.472,1989
1,3493734.784,1990
2,3637645.568,1991
3,4028546.176,1992
4,3348235.776,1993
5,4210162.176,1994
6,5900081.28,1995
7,6154750.08,1996
8,6096373.12,1997
9,6626609.28,1998
10,6942412.34,1999
11,6612947.616,2000
12,6688461.085,2001
13,7552007.732,2002
14,9515807.37,2003
15,11507274.039,2004
16,12213025.366,2005
17,14250773.679,2006
18,16651916.605,2007
19,16948754.678,2008
20,12639236.453,2009
21,14114496.233,2010
22,16473154.128,2011
23,14209173.737,2012
24,15075356.737,2013
25,15894243.966,2014
26,14569593.673,2015
27,14451098.925,2016
