,value,year
0,912169.968,1989
1,931149.168,1990
2,982862.224,1991
3,1019745.952,1992
4,711700.08,1993
5,999757.432,1994
6,1089910.656,1995
7,1169463.092,1996
8,1258162.228,1997
9,1214144.592,1998
10,1145818.329,1999
11,1267812.834,2000
12,1486770.564,2001
13,1459402.471,2002
14,1702348.643,2003
15,1786307.283,2004
16,1853253.356,2005
17,2052280.317,2006
18,2406794.128,2007
19,2586825.606,2008
20,1919540.688,2009
21,2169547.862,2010
22,2576273.792,2011
23,2315935.461,2012
24,2468488.943,2013
25,2746253.3,2014
26,2585531.923,2015
27,2539625.41,2016
