,value,year
0,1179407.936,1989
1,1680517.696,1990
2,1875671.072,1991
3,1924583.232,1992
4,1247190.448,1993
5,1534603.712,1994
6,1963050.144,1995
7,2055337.376,1996
8,2159961.792,1997
9,2407376.224,1998
10,2551439.945,1999
11,2473468.82,2000
12,2595290.554,2001
13,2651264.001,2002
14,3340175.396,2003
15,4046120.786,2004
16,4274384.936,2005
17,4734496.832,2006
18,5746363.282,2007
19,5281920.236,2008
20,3687895.419,2009
21,4040434.784,2010
22,5058482.753,2011
23,4561658.936,2012
24,4195900.798,2013
25,4404210.905,2014
26,4229632.664,2015
27,4800473.813,2016
