,value,year
0,3140656.704,1989
1,4225670.688,1990
2,5298486.784,1991
3,6253098.848,1992
4,4287404.448,1993
5,5199465.856,1994
6,6017180.608,1995
7,6523980.288,1996
8,6735110.464,1997
9,7240694.56,1998
10,7577895.401,1999
11,7527351.255,2000
12,8025605.217,2001
13,8922143.089,2002
14,11197955.874,2003
15,13262823.136,2004
16,14527214.095,2005
17,16450442.422,2006
18,19433743.635,2007
19,21318638.72,2008
20,17454210.54,2009
21,18502060.502,2010
22,21342525.439,2011
23,18158257.192,2012
24,19687621.922,2013
25,22346051.031,2014
26,21975286.252,2015
27,22668396.63,2016
