,value,year
0,1212338.88,1988
1,1380268.48,1989
2,1472856.448,1990
3,1133738.688,1991
4,1106770.192,1992
5,967284.56,1993
6,1214406.592,1994
7,1494461.728,1995
8,1432735.2,1996
9,1495379.2,1997
10,1541408.48,1998
11,1424403.39,1999
12,1445562.891,2000
13,1398551.853,2001
14,1508535.408,2002
15,1814815.579,2003
16,2196164.215,2004
17,2440868.818,2005
18,2731192.839,2006
19,3252595.508,2007
20,3522547.404,2008
21,2440038.02,2009
22,3055691.608,2010
23,3616888.897,2011
24,3362819.301,2012
25,3422143.765,2013
26,3440679.492,2014
27,2788563.852,2015
28,2743965.73,2016
