,value,year
0,330945.948,1988
1,413582.096,1989
2,464883.992,1990
3,371649.024,1991
4,335960.08,1992
5,267331.14,1993
6,337949.92,1994
7,391864.928,1995
8,396165.768,1996
9,434070.352,1997
10,430515.02,1998
11,399559.967,1999
12,387488.735,2000
13,409734.391,2001
14,410096.396,2002
15,509997.254,2003
16,582138.897,2004
17,620294.39,2005
18,695097.392,2006
19,803868.399,2007
20,912521.137,2008
21,664968.71,2009
22,808925.002,2010
23,883474.354,2011
24,848969.208,2012
25,803343.867,2013
26,793075.665,2014
27,664660.858,2015
28,689452.919,2016
