,value,year
0,1077451.736,1988
1,1429636.405,1989
2,1553595.571,1990
3,1671356.975,1992
4,1445084.463,1993
5,1561351.325,1994
6,1753901.751,1995
7,1726194.702,1996
8,1665437.116,1997
9,1722486.692,1998
10,1607723.372,1999
11,1391377.684,2000
12,1357991.731,2001
13,1537004.512,2002
14,1939662.408,2003
15,2195898.253,2004
16,2391589.523,2005
17,2659197.362,2006
18,2966264.35,2007
19,3549124.138,2008
20,3221059.668,2009
21,3011750.028,2010
22,3251069.746,2011
23,2856763.789,2012
24,2970865.205,2013
25,2984928.317,2014
26,2352392.087,2015
27,2436925.457,2016
