,value,year
0,84436.281,1988
1,131173.309,1989
2,142054.804,1990
3,178770.738,1992
4,173055.593,1993
5,200177.863,1994
6,238722.626,1995
7,304609.29,1996
8,320651.821,1997
9,306203.295,1998
10,304959.832,1999
11,291113.051,2000
12,280103.916,2001
13,326493.987,2002
14,485829.008,2003
15,556524.283,2004
16,592442.787,2005
17,657062.283,2006
18,815079.984,2007
19,1034204.11,2008
20,903430.204,2009
21,754476.698,2010
22,681063.258,2011
23,527037.859,2012
24,547932.577,2013
25,633750.211,2014
26,558591.397,2015
27,595853.694,2016
