,value,year
0,4460712.96,1992
1,4666346.496,1993
2,5229113.856,1994
3,7509185.024,1995
4,7787760.128,1996
5,9122318.336,1997
6,8383010.304,1998
7,7777378.559,1999
8,7886511.618,2000
9,9147129.932,2001
10,10722045.127,2002
11,14209034.61,2003
12,16589172.476,2004
13,18560366.869,2005
14,21502493.972,2006
15,25829460.931,2007
16,30726986.737,2008
17,21204851.207,2009
18,20067004.556,2010
19,22714694.002,2011
20,20834262.292,2012
21,21931993.51,2013
22,22906873.37,2014
23,20580470.841,2015
24,21829864.971,2016
