,value,year
0,8008816.64,1992
1,7989555.2,1993
2,9922365.44,1994
3,13648968.704,1995
4,15043918.848,1996
5,17794885.632,1997
6,22392936.448,1998
7,24280641.536,1999
8,26847961.331,2000
9,27070601.225,2001
10,26410438.541,2002
11,23441290.047,2003
12,27066984.44,2004
13,30824544.195,2005
14,32169361.896,2006
15,34760637.99,2007
16,29508517.93,2008
17,19762802.695,2009
18,16225873.017,2010
19,17190576.926,2011
20,16120929.636,2012
21,16007815.989,2013
22,19192629.364,2014
23,30904323.794,2015
24,30180151.395,2016
