,value,year
0,36713267.441,1994
1,46213636.4470001,1995
2,48474132.643,1996
3,47521692.2889999,1997
4,54100027.5769999,1998
5,58363917.313,1999
6,61751662.819,2000
7,59478681.491,2001
8,60707340.602,2002
9,68563934.877,2003
10,80585183.3720001,2004
11,82503142.068,2005
12,89226658.1130001,2006
13,103991105.604,2007
14,112446189.446,2008
15,81950687.814,2009
16,102912772.586,2010
17,108081395.571,2011
18,88134332.21,2012
19,87036959.5120001,2013
20,89211189.7679999,2014
21,84784575.6360001,2015
22,87780496.111,2016
