,value,year
0,8076790.056,1992
1,7226469.096,1993
2,9045645.856,1994
3,9649655.58,1995
4,9877577.174,1996
5,8363448.768,1997
6,8625911.444,1998
7,8403965.167,1999
8,7630785.598,2000
9,7698356.229,2001
10,8419308.552,2002
11,10439997.357,2003
12,11761203.54,2004
13,12041724.739,2005
14,13375240.685,2006
15,17687047.617,2007
16,23542086.412,2008
17,18051081.617,2009
18,19351262.554,2010
19,26571677.947,2011
20,27167655.714,2012
21,29375868.608,2013
22,28243849.536,2014
23,24733313.704,2015
24,25232156.702,2016
