,value,year
0,11576037.296,1992
1,10949278.208,1993
2,13081801.328,1994
3,16540315.34,1995
4,15291323.67,1996
5,15410611.364,1997
6,15038018.676,1998
7,15125346.602,1999
8,15727703.61,2000
9,15944865.612,2001
10,18025206.686,2002
11,22060335.927,2003
12,27357375.829,2004
13,30756557.133,2005
14,35903744.263,2006
15,44195613.383,2007
16,45530154.129,2008
17,36929155.709,2009
18,40005171.291,2010
19,50917389.854,2011
20,50769280.581,2012
21,56452305.872,2013
22,53216025.367,2014
23,48371133.876,2015
24,41579074.352,2016
