,value,year
0,14145941.504,1992
1,13154490.368,1993
2,15967697.92,1994
3,20411543.552,1995
4,18693144.576,1996
5,18330378.24,1997
6,17663815.68,1998
7,17494095.54,1999
8,18229215.14,2000
9,18326162.226,2001
10,20430249.362,2002
11,25122233.216,2003
12,31093369.832,2004
13,34966163.126,2005
14,40880957.117,2006
15,50478048.133,2007
16,52572277.367,2008
17,42190255.053,2009
18,45872919.795,2010
19,59547786.218,2011
20,59021197.23,2012
21,65190199.282,2013
22,61737619.179,2014
23,55702411.902,2015
24,49157955.066,2016
