,value,year
0,11594215.424,1992
1,11134214.144,1993
2,10691406.848,1994
3,12161762.304,1995
4,14326260.736,1996
5,14142115.84,1997
6,10530803.712,1998
7,12766740.574,1999
8,20078049.401,2000
9,19033922.494,2001
10,19404028.381,2002
11,24150603.737,2003
12,30974444.343,2004
13,44805746.526,2005
14,58446024.408,2006
15,57528121.143,2007
16,77265890.726,2008
17,50732274.897,2009
18,71795031.187,2010
19,104113567.086,2011
20,115427017.043,2012
21,125768681.824,2013
22,107479464.394,2014
23,66711953.634,2015
24,52661552.226,2016
