,value,year
0,42445983.744,1992
1,36089774.08,1993
2,40811057.152,1994
3,51982774.272,1995
4,55343054.848,1996
5,61354999.808,1997
6,64205815.808,1998
7,70292522.234,1999
8,72071850.832,2000
9,65017329.231,2001
10,58875461.341,2002
11,80334801.364,2003
12,99663973.819,2004
13,102406587.495,2005
14,114337993.015,2006
15,132274598.081,2007
16,139892820.257,2008
17,107538551.994,2009
18,125187843.547,2010
19,142199487.845,2011
20,135050278.792,2012
21,137845258.737,2013
22,145077751.114,2014
23,130285570.997,2015
24,130721567.474,2016
