,value,year
0,2265122.64,1988
1,2304523.328,1989
2,2922633.104,1990
3,3381961.944,1991
4,3727228.456,1992
5,3305112.688,1993
6,3854281.904,1994
7,4559058.208,1995
8,4549270.384,1996
9,4314289.888,1997
10,4636229.584,1998
11,4908082.377,1999
12,4470328.635,2000
13,4776962.83,2001
14,4996056.111,2002
15,5958544.002,2003
16,6963962.687,2004
17,7263336.376,2005
18,8019959.135,2006
19,9939257.34,2007
20,11625998.374,2008
21,10372910.906,2009
22,10552353.156,2010
23,12109531.764,2011
24,10926033.807,2012
25,11719318.693,2013
26,11467332.338,2014
27,10054069.062,2015
28,10380197.946,2016
