,value,year
0,203111,1989
1,386643.008,1990
2,359930.648,1991
3,442051.72,1992
4,399895.194,1993
5,392003,1994
6,580939.03,1995
7,605339.992,1996
8,425789,1997
9,523497.048,1998
10,416493,1999
11,476131,2000
12,557635.992,2001
13,537267,2002
14,702652.103,2003
15,906754.807,2004
16,1074487.649,2005
17,1384134.492,2006
18,1728771.329,2007
19,2405234.83,2008
20,2113818.752,2009
21,2040256.665,2010
22,2590335.098,2011
23,2648685.129,2012
24,2813698.519,2013
25,2857420.627,2014
26,2775760.6,2015
27,3042793.706,2016
