,value,year
0,357662,1989
1,394326,1990
2,177020.486,1991
3,220947.493,1992
4,185087.387,1993
5,154488,1994
6,232126.013,1995
7,242936,1996
8,198551,1997
9,173570.021,1998
10,141532,1999
11,175832,2000
12,196086,2001
13,221270,2002
14,267011.842,2003
15,330168.85,2004
16,379464.314,2005
17,487787.253,2006
18,602033.655,2007
19,757374.733,2008
20,591972.599,2009
21,766298.574,2010
22,1100141.522,2011
23,1114065.012,2012
24,1118310.561,2013
25,1147861.998,2014
26,999472.629,2015
27,1136455.813,2016
