,value,year
0,218665,1989
1,269563,1990
2,249153.112,1991
3,571297.816,1992
4,676547.464,1993
5,826055,1994
6,1229533.096,1995
7,1364087.968,1996
8,1587238.04,1997
9,1846868.088,1998
10,1960092.928,1999
11,2154490.992,2000
12,2532397.976,2001
13,2969042.984,2002
14,3613035.728,2003
15,4168062.111,2004
16,4221364.101,2005
17,4330206.55,2006
18,4957871.864,2007
19,5062444.018,2008
20,3801867.417,2009
21,3996186.641,2010
22,4884247.768,2011
23,4521828.448,2012
24,4809327.997,2013
25,5184764.532,2014
26,4702488.652,2015
27,5123802.217,2016
