,value,year
0,3694827.092,1992
1,3256605.138,1993
2,4044265.216,1994
3,4111254.732,1995
4,4629957.072,1996
5,4559122.232,1997
6,4661044.78,1998
7,4592739.296,1999
8,4305290.063,2000
9,4472337.061,2001
10,5172692.105,2002
11,6549455.93,2003
12,7632969.498,2004
13,8201740.109,2005
14,9416478.728,2006
15,11331144.247,2007
16,13261944.562,2008
17,11830043.807,2009
18,13038114.772,2010
19,15136659.606,2011
20,15050984.418,2012
21,16716005.577,2013
22,17246086.137,2014
23,14996743.962,2015
24,15978061.326,2016
