,value,year
0,17868096.022,1992
1,14472882.332,1993
2,17044726.166,1994
3,18057145.451,1995
4,19390338.824,1996
5,19219056.887,1997
6,20562575.157,1998
7,17944429.833,1999
8,21658200.902,2000
9,20513842.099,2001
10,22943995.541,2002
11,28984073.345,2003
12,34254214.417,2004
13,37686142.137,2005
14,42890804.786,2006
15,51322185.299,2007
16,55718616.623,2008
17,42709702.8630001,2009
18,50104627.731,2010
19,57922285.232,2011
20,54361374.999,2012
21,57203874.596,2013
22,58436842.4240001,2014
23,49715303.205,2015
24,51845917.839,2016
