,value,year
0,36654653.678,1988
1,54981259.859,1989
2,62566476.186,1990
3,82432859.408,1991
4,106523637.873,1992
5,123956080.405,1993
6,167728134.1,1994
7,217249258.265,1995
8,208088609.032,1996
9,212560247.442,1997
10,208106827.636,1998
11,216758627.116,1999
12,232305790.138,2000
13,221963338.325,2001
14,230083793.237,2002
15,260323423.473,2003
16,301935386.854,2004
17,316813520.825,2005
18,340254419.04,2006
19,384566548.224,2007
20,398941082.623,2008
21,319491882.878,2009
22,372546698.395,2010
23,418186485.317,2011
24,392859732.689,2012
25,408541479.746,2013
26,424588892.627,2014
27,381253495.316,2015
28,350026360.361,2016
