,country,export
0,AUT,172227951.752
1,BGR,22485509.057
2,HRV,14123674.785
3,CYP,1713315.359
4,CZE,146087028.735
5,EST,13703857.642
6,FIN,96896070.517
7,HUN,108211166.0
8,LVA,9280774.291
9,LTU,23769895.309
10,MLT,3028516.49
11,POL,171859897.632
12,ROM,49538877.501
13,SWE,183880641.872
14,BEL,471797820.094
15,FRA,594504995.007
16,DEU,1466137413.0
17,DNK,115876232.75
18,GRC,31127436.552
19,ITA,541786282.701
20,IRL,127111345.348
21,NLD,545853405.26
22,PRT,57246284.833
23,ESP,279231467.63
24,SVN,29252924.301
25,SVK,70188697.344
26,LUX,17380796.716
