,country,export,norm
0,AUT,169714989.3,0.111998512
1,BGR,29386540.31,0.018331175
2,HRV,13843899.84,0.007956674
3,CYP,1923547.446,0
4,CZE,174279451.7,0.115045229
5,EST,17465559.81,0.010374082
6,FIN,74338833.53,0.048336221
7,HUN,112196294.6,0.073605563
8,LVA,13602815.46,0.007795753
9,LTU,32394296.29,0.020338812
10,MLT,4970788.422,0.002033992
11,POL,214476794.2,0.14187641
12,ROM,69877890.84,0.045358603
13,SWE,164680012.8,0.108637733
14,BEL,472201274.3,0.313904005
15,FRA,566656165.4,0.376951364
16,DEU,1498157778,0.998716058
17,DNK,110748921.3,0.072639461
18,GRC,35755371.47,0.022582284
19,ITA,529528733.5,0.352169307
20,IRL,118287434.8,0.077671317
21,NLD,571347541.6,0.380082794
22,PRT,63834385.67,0.041324645
23,ESP,318649311.8,0.211410153
24,SVN,30522102.23,0.019089147
25,SVK,85976289.11,0.056104065
26,LUX,14790882.96,0.008588772
